candidate_id,rank,score,reasoning
CAND_0018499,1,40.1435,Production FAISS work described at Zomato hits the vector-database must-have directly; 7.2 yrs overall with 86 mo inside product ML teams.
CAND_0071974,2,39.4041,Production Pinecone work described at Netflix hits the vector-database must-have directly; 7.8 yrs overall with 92 mo inside product ML teams. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0002025,3,38.4363,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Senior AI Engineer with 5.9 yrs of experience. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0039754,4,38.3000,Production Pinecone work described at Meta hits the vector-database must-have directly; 16.2 yrs overall with 98 mo inside product ML teams.
CAND_0046064,5,37.5954,Production FAISS work described in an earlier role at Verloop.io hits the vector-database must-have directly; 8.9 yrs overall with 106 mo inside product ML teams. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0079387,6,36.5154,Production Pinecone work described in an earlier role at upGrad hits the vector-database must-have directly; 6.9 yrs overall with 81 mo inside product ML teams. Location fit for hybrid Pune/Noida needs a conversation.
CAND_0088025,7,36.2376,Production Pinecone work described at Yellow.ai hits the vector-database must-have directly; 8.6 yrs overall with 102 mo inside product ML teams. Main friction: 90-day notice period.
CAND_0094759,8,36.0168,Production FAISS work described in an earlier role at Apple hits the vector-database must-have directly; 8.6 yrs overall with 101 mo inside product ML teams.
CAND_0081846,9,35.9237,Production FAISS work described at Razorpay hits the vector-database must-have directly; 6.7 yrs overall with 79 mo inside product ML teams.
CAND_0080766,10,35.8016,Cites NDCG for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Staff Machine Learning Engineer with 8.8 yrs of experience.
CAND_0052328,11,35.7679,Production Pinecone work described at Amazon hits the vector-database must-have directly; 6.5 yrs overall with 77 mo inside product ML teams.
CAND_0010257,12,35.0477,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Senior Data Scientist with 6.5 yrs of experience. Main friction: 120-day notice period.
CAND_0047721,13,35.0185,Cites A/B testing for ranking quality in shipped work — exactly the offline-evaluation rigor this role centers on. Currently Senior Data Scientist with 7.0 yrs of experience. Main friction: 90-day notice period.
